Pert,Kpa,Tprot
AC220,CDK17,ARID3A
AC220,CDK17,CCNK
AC220,CDK17,CDCA3
AC220,CDK17,GATAD2A
AC220,CDK17,KIF26A
AC220,CDK17,KNL1
AC220,CDK17,MAGI3
AC220,CDK17,N4BP3
AC220,CDK17,PHF8
AC220,CDK17,PLEKHG3
AC220,CDK17,RALGPS2
AC220,CDK17,RBBP8NL
AC220,CDK17,RCAN1
AC220,CDK17,RCAN3
AC220,CDK17,SLX4
AC220,CDK17,TGFB1I1
AC220,CDK17,ZC3H13
AC220,CDK17,ZC3H18
AC220,CDK17,ZFPM1
AC220,CDK18,ANKRD34A
AC220,CDK18,CDCA3
AC220,CDK18,KIF26A
AC220,CDK18,KNL1
AC220,CDK18,MAGI3
AC220,CDK18,N4BP3
AC220,CDK18,PHF8
AC220,CDK18,PLEKHG3
AC220,CDK18,PRRT3
AC220,CDK18,RAB44
AC220,CDK18,RCAN1
AC220,CDK18,RCAN3
AC220,CDK18,SLX4
AC220,CDK18,TGFB1I1
AC220,CDK18,ZC3H18
AC220,CDK18,ZFPM1
AC220,CDK19,ACACA
AC220,CDK19,ANKRD17
AC220,CDK19,ANKRD34A
AC220,CDK19,ARID3A
AC220,CDK19,ATAD2
AC220,CDK19,BAZ2A
AC220,CDK19,BRD2
AC220,CDK19,CDK13
AC220,CDK19,CPEB4
AC220,CDK19,DENND4A
AC220,CDK19,GATAD2A
AC220,CDK19,MLLT6
AC220,CDK19,N4BP3
AC220,CDK19,NCOR2
AC220,CDK19,NPDC1
AC220,CDK19,PHF8
AC220,CDK19,RALGPS2
AC220,CDK19,SIN3A
AC220,CDK19,TBX2
AC220,CDK19,TGFB1I1
AC220,CDK19,ZC3H18
AC220,CDK19,ZNF219
AC220,CDK2,BAZ2A
AC220,CDK2,CDC42EP4
AC220,CDK2,CDC6
AC220,CDK2,CNOT3
AC220,CDK2,FNDC3A
AC220,CDK2,FOXK2
AC220,CDK2,H1-3
AC220,CDK2,KIF1C
AC220,CDK2,KIF24
AC220,CDK2,MACF1
AC220,CDK2,MASTL
AC220,CDK2,NCBP3
AC220,CDK2,NCOA2
AC220,CDK2,NCOR1
AC220,CDK2,PLCH1
AC220,CDK2,RECQL5
AC220,CDK2,RIF1
AC220,CDK2,RNF14
AC220,CDK2,SP4
AC220,CDK2,SSH3
AC220,CDK2,TACC2
AC220,CDK2,TANC2
AC220,CDK2,TOP2B
AC220,CDK2,ZMYM1
AC220,CDK3,AAK1
AC220,CDK3,ANKRD34A
AC220,CDK3,ARID3A
AC220,CDK3,ATAD2
AC220,CDK3,BRME1
AC220,CDK3,BUD13
AC220,CDK3,CAP1
